GEO_ID,NAME(zip),S1903_C01_001E(num_households),S1903_C03_001E(median_indome),S1903_C03_001M(income_SE)
860Z200US56091,ZCTA5 56091,131,47361,7425
860Z200US56093,ZCTA5 56093,5001,66125,5382
860Z200US56096,ZCTA5 56096,1179,80114,8430
860Z200US56097,ZCTA5 56097,1551,53795,5336
860Z200US56098,ZCTA5 56098,831,57153,6836
860Z200US56101,ZCTA5 56101,2499,55240,10482
860Z200US56110,ZCTA5 56110,619,65903,8800
860Z200US56111,ZCTA5 56111,193,72917,29498
860Z200US56113,ZCTA5 56113,96,66250,23424
860Z200US56114,ZCTA5 56114,150,70833,7696
860Z200US56115,ZCTA5 56115,516,61771,3499
860Z200US56116,ZCTA5 56116,223,87813,11295
860Z200US56117,ZCTA5 56117,125,75750,20488
860Z200US56118,ZCTA5 56118,193,79861,7624
860Z200US56119,ZCTA5 56119,330,72292,7408
860Z200US56120,ZCTA5 56120,358,71324,10222
860Z200US56121,ZCTA5 56121,309,42096,4807
860Z200US56122,ZCTA5 56122,218,63750,4941
860Z200US56123,ZCTA5 56123,177,57125,9482
860Z200US56125,ZCTA5 56125,31,60417,28459
860Z200US56127,ZCTA5 56127,212,-,**
860Z200US56128,ZCTA5 56128,771,65662,7451
860Z200US56129,ZCTA5 56129,290,59063,8653
860Z200US56131,ZCTA5 56131,897,71705,9601
860Z200US56132,ZCTA5 56132,231,59821,13204
860Z200US56134,ZCTA5 56134,172,53333,15142
860Z200US56136,ZCTA5 56136,614,50625,8803
860Z200US56137,ZCTA5 56137,430,71250,8280
860Z200US56138,ZCTA5 56138,405,74115,8120
860Z200US56139,ZCTA5 56139,158,49643,9821
860Z200US56140,ZCTA5 56140,37,56797,2256
860Z200US56141,ZCTA5 56141,136,60000,16257
860Z200US56142,ZCTA5 56142,428,56944,7737
860Z200US56143,ZCTA5 56143,2054,63010,5847
860Z200US56144,ZCTA5 56144,466,45962,5900
860Z200US56145,ZCTA5 56145,207,42841,7320
860Z200US56146,ZCTA5 56146,23,55179,15641
860Z200US56147,ZCTA5 56147,77,58750,6249
860Z200US56149,ZCTA5 56149,516,61111,7482
860Z200US56150,ZCTA5 56150,1146,57115,4085
860Z200US56151,ZCTA5 56151,300,74667,7498
860Z200US56152,ZCTA5 56152,558,66346,7133
860Z200US56153,ZCTA5 56153,77,49659,4697
860Z200US56155,ZCTA5 56155,223,52388,8129
860Z200US56156,ZCTA5 56156,2554,69211,6041
860Z200US56157,ZCTA5 56157,288,73030,5324
860Z200US56158,ZCTA5 56158,137,66875,23373
860Z200US56159,ZCTA5 56159,980,56029,6594
860Z200US56160,ZCTA5 56160,102,40000,16697
860Z200US56161,ZCTA5 56161,144,83750,15321
