"zcta","ZIPName","LandSQMI","afact"
"ZIP census tabulation area","ZIP Code name","Land area (square miles)","zcta-to-zcta allocation factor"
"56078","Pemberton, MN",25.4322,1 
"56080","St. Clair, MN",0.4419,1 
"56081","St. James, MN",177.4506,1 
"56082","St. Peter, MN",124.1486,1 
"56083","Sanborn, MN",97.0564,1 
"56085","Sleepy Eye, MN",205.9383,1 
"56087","Springfield, MN",146.0567,1 
"56088","Truman, MN",125.0092,1 
"56089","Twin Lakes, MN",5.4702,1 
"56090","Vernon Center, MN",42.9869,1 
"56091","Waldorf, MN",18.0444,1 
"56093","Waseca, MN",180.4612,1 
"56096","Waterville, MN",55.6678,1 
"56097","Wells, MN",175.5517,1 
"56098","Winnebago, MN",112.9082,1 
"56101","Windom, MN",172.3286,1 
"56110","Adrian, MN",110.2615,1 
"56111","Alpha, MN",53.5636,1 
"56113","Arco, MN",39.5045,1 
"56114","Avoca, MN",49.6602,1 
"56115","Balaton, MN",123.5328,1 
"56116","Beaver Creek, MN",43.9285,1 
"56117","Bigelow, MN",23.2795,1 
"56118","Bingham Lake, MN",53.3388,1 
"56119","Brewster, MN",92.904,1 
"56120","Butterfield, MN",100.1208,1 
"56121","Ceylon, MN",36.924,1 
"56122","Chandler, MN",54.7743,1 
"56123","Currie, MN",69.0338,1 
"56125","Dovray, MN",0.2488,1 
"56127","Dunnell, MN",54.944,1 
"56128","Edgerton, MN",115.9942,1 
"56129","Ellsworth, MN",47.4882,1 
"56131","Fulda, MN",171.7308,1 
"56132","Garvin, MN",58.5779,1 
"56134","Hardwick, MN",50.0999,1 
"56136","Hendricks, MN",89.806,1 
"56137","Heron Lake, MN",112.8775,1 
"56138","Hills, MN",32.6461,1 
"56139","Holland, MN",48.6542,1 
"56140","Ihlen, MN",0.0947,1 
"56141","Iona, MN",41.4278,1 
"56142","Ivanhoe, MN",90.3304,1 
"56143","Jackson, MN",187.9092,1 
"56144","Jasper, MN",104.3912,1 
"56145","Jeffers, MN",50.1201,1 
"56146","Kanaranzi, MN",0.9923,1 
"56147","Kenneth, MN",30.075,1 
"56149","Lake Benton, MN",111.3977,1 
"56150","Lakefield, MN",174.8673,1 
"56151","Lake Wilson, MN",95.54,1 
"56152","Lamberton, MN",136.6369,1 
"56153","Leota, MN",2.7253,1 
"56155","Lismore, MN",44.1405,1 
"56156","Luverne, MN",166.8528,1 
"56157","Lynd, MN",43.668,1 
"56158","Magnolia, MN",37.3689,1 
"56159","Mountain Lake, MN",126.3961,1 
"56160","Odin, MN",20.5094,1 
"56161","Okabena, MN",28.4573,1 
"56162","Ormsby, MN",23.1171,1 
"56164","Pipestone, MN",232.4233,1 
"56165","Reading, MN",38.6111,1 
"56166","Revere, MN",33.1838,1 
"56167","Round Lake, MN",52.3257,1 
"56168","Rushmore, MN",95.9121,1 
"56169","Russell, MN",54.8938,1 
"56170","Ruthton, MN",62.6079,1 
"56171","Sherburn, MN",89.3603,1 
"56172","Slayton, MN",116.3005,1 
"56173","Steen, MN",24.0373,1 
"56174","Storden, MN",39.8843,1 
"56175","Tracy, MN",135.49,1 
"56176","Trimont, MN",62.8632,1 
"56178","Tyler, MN",84.1558,1 
"56180","Walnut Grove, MN",117.8523,1 
"56181","Welcome, MN",62.2688,1 
"56183","Westbrook, MN",95.2152,1 
"56185","Wilmont, MN",43.3307,1 
"56186","Woodstock, MN",63.0651,1 
"56187","Worthington, MN",168.6629,1 
"56201","Willmar, MN",118.139,1 
